,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
3298,1336-ezfzy,female,no,no,no,4,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.05,83.3,0
6452,9529-ofxhy,male,no,no,no,15,yes,yes,fiber_optic,yes,no,no,no,yes,no,month-to-month,yes,bank_transfer_(automatic),87.75,1242.2,0
5490,2676-oxppq,male,no,no,no,6,yes,no,dsl,yes,yes,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),55.7,335.65,0
5928,1830-ipxvj,female,no,yes,yes,61,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.75,1311.6,0
1776,5605-xnwen,male,yes,yes,no,72,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),25.0,1802.55,0
2608,4323-sadqs,male,no,yes,yes,7,no,no_phone_service,dsl,yes,no,no,yes,no,no,month-to-month,yes,electronic_check,34.5,279.25,1
3903,5206-xzzqi,male,no,no,no,53,yes,no,fiber_optic,no,yes,no,yes,no,no,month-to-month,yes,mailed_check,80.6,4348.1,0
100,6380-arceh,male,no,no,no,1,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,no,mailed_check,20.2,20.2,0
4705,5760-fxfvo,male,no,no,no,6,yes,no,fiber_optic,yes,yes,no,no,no,no,month-to-month,yes,electronic_check,78.95,494.95,0
3924,7716-ytyhg,female,no,yes,yes,48,yes,yes,fiber_optic,no,no,no,no,no,yes,one_year,yes,mailed_check,82.05,4029.95,1
5381,9465-rwmxl,male,no,yes,no,32,yes,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,yes,electronic_check,78.9,2447.95,1
2966,8648-pfrmp,female,yes,no,no,14,no,no_phone_service,dsl,no,no,no,no,yes,yes,month-to-month,yes,electronic_check,46.35,672.7,0
981,1106-hrlkz,male,no,yes,yes,40,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.6,808.95,0
6640,3315-ikyzq,male,no,yes,yes,28,no,no_phone_service,dsl,yes,no,yes,yes,yes,no,one_year,no,mailed_check,50.8,1386.8,0
4076,1325-usmec,male,no,yes,no,70,yes,yes,fiber_optic,yes,yes,yes,no,yes,no,two_year,yes,credit_card_(automatic),99.35,6944.5,0
5952,4430-yhxgg,female,no,no,yes,4,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,25.45,84.2,0
7032,6894-lfhly,male,yes,no,no,1,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,75.75,75.75,1
1240,2120-smpex,male,no,no,no,25,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,yes,mailed_check,20.15,536.35,0
2773,2770-nsvdg,male,no,yes,no,24,no,no_phone_service,dsl,no,no,yes,no,no,no,month-to-month,no,electronic_check,29.1,688.0,0
3642,2107-fbptk,female,yes,no,no,30,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,104.1,3121.1,0
2656,4328-vufwd,female,no,no,no,39,yes,no,dsl,no,no,no,yes,no,yes,one_year,no,electronic_check,59.3,2209.15,0
3358,5447-vytkw,male,no,no,no,27,yes,no,dsl,yes,no,no,yes,no,no,month-to-month,no,mailed_check,53.45,1461.45,0
5216,3034-zbeqn,female,no,yes,no,48,no,no_phone_service,dsl,no,yes,yes,no,no,no,one_year,no,mailed_check,34.7,1604.5,1
2068,9079-lwtfd,male,no,no,no,47,yes,yes,fiber_optic,yes,yes,no,yes,yes,no,month-to-month,no,mailed_check,100.75,4669.2,0
5345,9526-jawyf,male,no,no,no,26,yes,no,fiber_optic,no,yes,yes,no,yes,no,month-to-month,no,electronic_check,89.8,2335.3,1
6425,9746-ykgxb,male,no,yes,yes,52,no,no_phone_service,dsl,yes,no,yes,no,no,yes,one_year,no,bank_transfer_(automatic),44.25,2276.1,0
6336,8647-sdtwq,male,no,yes,yes,57,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,yes,electronic_check,74.3,4018.35,0
2039,6298-qdfnh,male,no,no,no,22,yes,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,yes,electronic_check,79.35,1730.35,1
5285,9479-hynyl,female,no,yes,no,71,yes,no,dsl,no,yes,yes,yes,yes,yes,two_year,yes,credit_card_(automatic),80.7,5705.05,0
4049,6199-iwkgc,female,yes,yes,no,46,yes,yes,fiber_optic,no,no,no,yes,yes,yes,one_year,no,electronic_check,100.25,4753.85,0
5526,6546-opbbh,male,no,yes,yes,51,yes,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,yes,mailed_check,23.95,1216.35,0
3267,8902-zeovf,male,no,yes,yes,47,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,no,mailed_check,20.05,951.55,0
3571,8980-wqfwl,female,no,no,no,35,yes,no,dsl,no,no,yes,no,no,yes,month-to-month,yes,electronic_check,62.1,2096.1,0
4104,3345-pbbfh,male,no,yes,no,8,yes,no,dsl,no,yes,no,no,no,no,month-to-month,yes,bank_transfer_(automatic),49.55,393.45,0
2262,4529-ckbcl,female,no,no,no,2,yes,no,fiber_optic,no,no,no,no,yes,no,month-to-month,yes,electronic_check,80.2,146.05,1
3285,7197-vojmm,male,no,yes,no,67,yes,no,dsl,yes,yes,no,yes,no,yes,two_year,yes,credit_card_(automatic),69.2,4671.65,0
205,7674-ytafd,female,no,no,no,33,yes,no,fiber_optic,no,yes,no,yes,no,no,one_year,yes,bank_transfer_(automatic),79.95,2684.85,0
1375,1839-fbnfr,female,no,yes,yes,39,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,yes,bank_transfer_(automatic),19.85,854.8,0
1006,9524-egpjc,female,no,no,no,18,yes,yes,fiber_optic,no,no,no,yes,no,yes,month-to-month,yes,electronic_check,90.1,1612.75,1
6079,9881-vczep,female,no,yes,no,25,yes,yes,dsl,no,yes,no,no,no,no,month-to-month,no,electronic_check,54.1,1373.0,0
1847,1098-kfqec,female,no,yes,yes,55,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,credit_card_(automatic),19.4,1083.0,0
6183,6981-tdrft,male,no,yes,yes,44,no,no_phone_service,dsl,no,no,yes,yes,yes,yes,one_year,yes,electronic_check,54.3,2317.1,0
4273,3814-mlaxc,female,no,no,no,31,yes,yes,fiber_optic,no,no,no,yes,no,no,month-to-month,yes,credit_card_(automatic),79.85,2404.15,1
5695,1813-jywto,female,no,yes,no,72,yes,yes,fiber_optic,yes,no,no,no,no,no,two_year,no,bank_transfer_(automatic),80.45,5737.6,0
5327,1270-xkucc,female,no,yes,yes,30,yes,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,no,mailed_check,19.7,599.25,0
2216,8495-ljdfo,female,yes,no,no,64,yes,yes,fiber_optic,yes,no,yes,yes,yes,yes,month-to-month,yes,bank_transfer_(automatic),108.95,7111.3,0
6290,2530-endwq,female,no,yes,no,71,yes,yes,fiber_optic,no,no,no,no,yes,yes,two_year,yes,bank_transfer_(automatic),93.7,6585.35,1
2398,7389-kbfit,female,no,yes,yes,2,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,mailed_check,30.25,63.75,0
3447,9762-yaqaa,male,no,no,no,39,yes,yes,fiber_optic,no,yes,no,no,no,no,one_year,no,credit_card_(automatic),81.4,3213.75,0
3472,4840-orqxb,female,yes,no,no,56,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,no,electronic_check,104.75,5841.35,0
5081,5707-zmdjp,male,no,yes,yes,53,yes,no,dsl,yes,yes,no,yes,yes,no,two_year,yes,mailed_check,69.7,3729.6,0
3127,1432-fpaxx,female,no,no,no,29,no,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,yes,electronic_check,30.6,856.35,1
4169,3663-mitlp,female,no,no,no,15,yes,no,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,101.25,1457.25,1
1630,2439-lypmq,male,yes,yes,no,38,yes,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,yes,electronic_check,102.6,4009.2,0
4053,7446-ypode,male,yes,no,no,11,yes,yes,dsl,yes,yes,no,no,no,no,month-to-month,no,bank_transfer_(automatic),60.25,662.95,0
4597,3440-jpscl,female,no,no,no,6,yes,no,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,yes,mailed_check,99.95,547.65,1
1916,4720-vstsi,female,no,no,no,44,yes,yes,fiber_optic,no,yes,yes,no,no,no,month-to-month,yes,bank_transfer_(automatic),84.8,3862.55,1
2105,0925-vydlg,female,no,no,no,3,yes,yes,fiber_optic,no,no,no,no,no,no,month-to-month,no,electronic_check,75.25,242.0,1
1352,7722-vjrqd,male,no,yes,yes,72,no,no_phone_service,dsl,yes,no,yes,yes,yes,yes,two_year,no,bank_transfer_(automatic),60.95,4549.05,0
735,7595-ehcdl,male,no,yes,yes,32,no,no_phone_service,dsl,no,no,yes,no,yes,yes,month-to-month,no,credit_card_(automatic),50.6,1653.45,0
6089,8775-lhdjh,female,yes,yes,no,1,yes,yes,fiber_optic,no,yes,no,no,yes,no,month-to-month,yes,electronic_check,90.6,90.6,1
